2, 10, 8
10, 18, 8
18, 29, 11
29, 37, 8
37, 48, 11
48, 56, 8
56, 65, 9
65, 73, 8
73, 81, 8
81, 87, 6
87, 95, 8
95, 104, 9
104, 113, 9
113, 121, 8
121, 130, 9
130, 138, 8
138, 149, 11
149, 157, 8
157, 163, 6
163, 168, 5
168, 176, 8
176, 184, 8
184, 191, 7
191, 199, 8
199, 207, 8
207, 216, 9
216, 227, 11
227, 232, 5
232, 240, 8
240, 246, 6
246, 251, 5
251, 259, 8
259, 270, 11
270, 279, 9
279, 290, 11
290, 302, 12
302, 309, 7
309, 314, 5
314, 323, 9
323, 334, 11
334, 343, 9
343, 350, 7
350, 358, 8
358, 366, 8
366, 374, 8
374, 379, 5
379, 387, 8
387, 395, 8
395, 400, 5


